,slide,dataset,uid,x,y,expert1_label,expert2_label,expert1_atypical,expert2_atypical,expert3_atypical,majority_atypical
105,014.tiff,MIDOG21,282,6764,3655,NMF prometaphase,NMF prometaphase,False,False,False,False
106,014.tiff,MIDOG21,285,1681,1763,NMF prometaphase,NMF prometaphase,False,False,False,False
107,014.tiff,MIDOG21,288,404,682,NMF prometaphase,NMF prometaphase,False,False,False,False
108,014.tiff,MIDOG21,294,1259,1166,NMF metaphase,NMF prometaphase,False,False,False,False
109,015.tiff,MIDOG21,301,4093,2267,NMF metaphase,NMF metaphase,False,False,False,False
110,015.tiff,MIDOG21,303,4974,3061,NMF metaphase,NMF metaphase,False,False,True,False
111,015.tiff,MIDOG21,305,3114,4502,NMF metaphase,NMF metaphase,False,False,False,False
112,016.tiff,MIDOG21,310,1052,482,AMF segregation,AMF segregation,True,True,True,True
113,016.tiff,MIDOG21,316,3941,2046,NMF prometaphase,NMF prometaphase,False,False,False,False
114,016.tiff,MIDOG21,319,639,2711,NMF metaphase,NMF metaphase,False,False,False,False
115,016.tiff,MIDOG21,321,7157,2840,NMF metaphase,NMF metaphase,False,False,False,False
116,016.tiff,MIDOG21,327,6280,1748,NMF metaphase,NMF metaphase,False,False,False,False
117,016.tiff,MIDOG21,334,509,4891,NMF prometaphase,AMF other,False,True,False,False
118,017.tiff,MIDOG21,343,2226,2332,NMF metaphase,NMF metaphase,False,False,False,False
119,017.tiff,MIDOG21,344,4393,1901,NMF anaphase-telophase,NMF metaphase,False,False,False,False
120,017.tiff,MIDOG21,345,1763,3068,NMF prometaphase,NMF prometaphase,False,False,False,False
121,018.tiff,MIDOG21,349,3831,4414,NMF metaphase,NMF metaphase,False,False,False,False
122,018.tiff,MIDOG21,352,3750,913,NMF prometaphase,NMF prometaphase,False,False,True,False
123,018.tiff,MIDOG21,353,5587,2033,NMF prometaphase,NMF metaphase,False,False,False,False
124,020.tiff,MIDOG21,362,2954,729,NMF prometaphase,NMF metaphase,False,False,False,False
125,020.tiff,MIDOG21,363,3868,456,AMF other,NMF metaphase,True,False,True,True
126,020.tiff,MIDOG21,365,2668,1308,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
127,020.tiff,MIDOG21,366,2943,1011,AMF other,NMF metaphase,True,False,False,False
128,020.tiff,MIDOG21,368,432,1614,NMF metaphase,NMF metaphase,False,False,False,False
129,020.tiff,MIDOG21,369,773,1821,NMF prometaphase,NMF ring shape,False,False,True,False
130,020.tiff,MIDOG21,371,2216,1766,NMF metaphase,NMF metaphase,False,False,False,False
131,020.tiff,MIDOG21,373,4192,3119,NMF metaphase,NMF metaphase,False,False,False,False
132,020.tiff,MIDOG21,374,4454,2858,NMF prometaphase,NMF prometaphase,False,False,False,False
133,020.tiff,MIDOG21,375,2115,3560,NMF metaphase,NMF metaphase,False,False,False,False
134,020.tiff,MIDOG21,376,4209,3882,AMF segregation,AMF segregation,True,True,True,True
135,020.tiff,MIDOG21,381,4484,4924,AMF segregation,AMF segregation,True,True,False,True
136,020.tiff,MIDOG21,383,6191,5016,NMF metaphase,NMF metaphase,False,False,False,False
137,020.tiff,MIDOG21,384,3938,2788,NMF prometaphase,NMF metaphase,False,False,False,False
138,021.tiff,MIDOG21,388,2400,212,NMF prometaphase,NMF metaphase,False,False,False,False
139,021.tiff,MIDOG21,392,1086,407,AMF other,AMF other,True,True,True,True
140,021.tiff,MIDOG21,394,459,2727,AMF bipolar assymetric,AMF bipolar assymetric,True,True,True,True
141,021.tiff,MIDOG21,395,3283,2456,AMF other,AMF other,True,True,True,True
142,021.tiff,MIDOG21,397,5100,3175,NMF metaphase,NMF metaphase,False,False,False,False
143,021.tiff,MIDOG21,399,1591,4208,NMF metaphase,NMF metaphase,False,False,False,False
144,021.tiff,MIDOG21,401,2493,5173,AMF other,AMF other,True,True,True,True
145,022.tiff,MIDOG21,403,7068,1202,NMF metaphase,NMF metaphase,False,False,False,False
146,022.tiff,MIDOG21,404,908,1931,NMF metaphase,NMF metaphase,False,False,False,False
147,022.tiff,MIDOG21,406,2310,2479,NMF prometaphase,NMF prometaphase,False,False,False,False
148,023.tiff,MIDOG21,411,1359,694,AMF segregation,AMF segregation,True,True,True,True
149,023.tiff,MIDOG21,412,1014,111,AMF segregation,AMF segregation,True,True,True,True
150,023.tiff,MIDOG21,413,3801,559,NMF metaphase,NMF metaphase,False,False,False,False
151,023.tiff,MIDOG21,416,1977,2751,AMF multipolar,AMF multipolar,True,True,True,True
152,023.tiff,MIDOG21,417,6197,2522,AMF segregation,AMF segregation,True,True,True,True
153,023.tiff,MIDOG21,418,1028,3705,NMF anaphase-telophase,AMF segregation,False,True,True,True
154,023.tiff,MIDOG21,419,1072,3740,NMF anaphase-telophase,NMF prometaphase,False,False,False,False
155,023.tiff,MIDOG21,420,1500,3602,NMF prometaphase,NMF prometaphase,False,False,False,False
156,023.tiff,MIDOG21,425,300,5048,AMF segregation,AMF segregation,True,True,True,True
157,023.tiff,MIDOG21,426,1224,5093,AMF other,AMF other,True,True,True,True
158,023.tiff,MIDOG21,427,881,5276,AMF other,AMF other,True,True,True,True
159,023.tiff,MIDOG21,428,1515,5286,AMF other,AMF other,True,True,True,True
160,024.tiff,MIDOG21,433,2510,16,NMF prometaphase,NMF prometaphase,False,False,False,False
161,024.tiff,MIDOG21,436,1110,765,NMF metaphase,NMF metaphase,False,False,False,False
162,024.tiff,MIDOG21,438,550,47,NMF prometaphase,NMF metaphase,False,False,False,False
163,024.tiff,MIDOG21,440,3692,507,AMF other,AMF other,True,True,True,True
164,024.tiff,MIDOG21,441,4731,675,NMF metaphase,NMF metaphase,False,False,False,False
165,024.tiff,MIDOG21,442,5723,790,AMF other,NMF metaphase,True,False,True,True
166,024.tiff,MIDOG21,443,6670,812,AMF other,AMF other,True,True,True,True
167,024.tiff,MIDOG21,444,6826,289,NMF prometaphase,NMF prometaphase,False,False,False,False
168,024.tiff,MIDOG21,445,6739,38,AMF other,AMF segregation,True,True,True,True
169,024.tiff,MIDOG21,447,1370,1439,NMF metaphase,NMF metaphase,False,False,False,False
170,024.tiff,MIDOG21,448,529,885,NMF prometaphase,NMF prometaphase,False,False,False,False
171,024.tiff,MIDOG21,449,2697,1167,NMF prometaphase,NMF metaphase,False,False,False,False
172,024.tiff,MIDOG21,450,2899,1239,NMF metaphase,NMF metaphase,False,False,False,False
173,024.tiff,MIDOG21,453,5430,1300,NMF prometaphase,AMF other,False,True,True,True
174,024.tiff,MIDOG21,454,5879,980,NMF metaphase,NMF metaphase,False,False,False,False
175,024.tiff,MIDOG21,455,6190,1249,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
176,024.tiff,MIDOG21,456,6234,1529,NMF prometaphase,NMF prometaphase,False,False,False,False
177,024.tiff,MIDOG21,458,446,2338,NMF prometaphase,NMF prometaphase,False,False,False,False
178,024.tiff,MIDOG21,461,2220,2005,NMF prometaphase,NMF metaphase,False,False,False,False
179,024.tiff,MIDOG21,464,3799,2170,NMF prometaphase,NMF prometaphase,False,False,False,False
180,024.tiff,MIDOG21,465,3760,1839,NMF prometaphase,NMF prometaphase,False,False,False,False
181,024.tiff,MIDOG21,466,5329,1797,NMF metaphase,AMF segregation,False,True,True,True
182,024.tiff,MIDOG21,467,5433,2051,NMF metaphase,NMF metaphase,False,False,False,False
183,024.tiff,MIDOG21,469,5919,1833,NMF prometaphase,NMF prometaphase,False,False,False,False
184,024.tiff,MIDOG21,471,342,2678,NMF prometaphase,NMF metaphase,False,False,False,False
185,024.tiff,MIDOG21,474,4880,2580,NMF prometaphase,NMF prometaphase,False,False,False,False
186,024.tiff,MIDOG21,475,5161,2588,NMF prometaphase,NMF prometaphase,False,False,False,False
187,024.tiff,MIDOG21,477,4375,2432,NMF metaphase,NMF metaphase,False,False,False,False
188,024.tiff,MIDOG21,478,1727,3408,NMF metaphase,NMF metaphase,False,False,False,False
189,024.tiff,MIDOG21,482,4617,3540,NMF prometaphase,NMF prometaphase,False,False,False,False
190,024.tiff,MIDOG21,483,6229,3679,NMF metaphase,NMF metaphase,False,False,False,False
191,024.tiff,MIDOG21,484,6026,3842,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
192,024.tiff,MIDOG21,486,6626,3251,NMF prometaphase,NMF prometaphase,False,False,False,False
193,024.tiff,MIDOG21,489,1000,4322,NMF prometaphase,NMF prometaphase,False,False,False,False
194,024.tiff,MIDOG21,490,7197,4231,NMF prometaphase,NMF metaphase,False,False,False,False
195,024.tiff,MIDOG21,493,2295,5235,NMF metaphase,NMF metaphase,False,False,False,False
196,024.tiff,MIDOG21,495,5337,4866,NMF prometaphase,NMF prometaphase,False,False,False,False
197,024.tiff,MIDOG21,496,5768,5308,NMF metaphase,NMF metaphase,False,False,False,False
198,024.tiff,MIDOG21,499,3451,710,NMF prometaphase,NMF prometaphase,False,False,False,False
199,024.tiff,MIDOG21,500,3164,693,NMF anaphase-telophase,AMF segregation,False,True,True,True
200,024.tiff,MIDOG21,508,455,2411,AMF segregation,AMF segregation,True,True,True,True
201,024.tiff,MIDOG21,518,6350,2235,AMF other,AMF other,True,True,True,True
202,024.tiff,MIDOG21,528,5324,904,AMF other,AMF other,True,True,True,True
203,025.tiff,MIDOG21,532,5912,1523,AMF segregation,AMF segregation,True,True,True,True
204,025.tiff,MIDOG21,533,6006,1417,AMF bipolar assymetric,NMF metaphase,True,False,False,False
205,025.tiff,MIDOG21,536,3845,3715,NMF ring shape,NMF ring shape,False,False,False,False
206,025.tiff,MIDOG21,537,5221,4198,AMF multipolar,AMF multipolar,True,True,True,True
207,027.tiff,MIDOG21,553,2166,394,NMF prometaphase,NMF prometaphase,False,False,False,False
208,027.tiff,MIDOG21,554,1575,23,NMF metaphase,NMF metaphase,False,False,False,False
209,027.tiff,MIDOG21,558,823,389,AMF other,AMF other,True,True,True,True
210,027.tiff,MIDOG21,559,712,371,NMF prometaphase,AMF other,False,True,True,True
211,027.tiff,MIDOG21,561,416,982,NMF prometaphase,AMF segregation,False,True,True,True
212,027.tiff,MIDOG21,568,6613,787,NMF metaphase,NMF metaphase,False,False,False,False
213,027.tiff,MIDOG21,570,7180,330,NMF prometaphase,NMF metaphase,False,False,False,False
214,027.tiff,MIDOG21,572,2161,1403,AMF other,AMF segregation,True,True,True,True
215,027.tiff,MIDOG21,573,2762,1341,NMF prometaphase,NMF prometaphase,False,False,False,False
216,027.tiff,MIDOG21,575,3820,1157,NMF metaphase,NMF metaphase,False,False,True,False
217,027.tiff,MIDOG21,583,6988,1798,NMF metaphase,NMF metaphase,False,False,False,False
218,027.tiff,MIDOG21,584,2675,2556,AMF segregation,AMF segregation,True,True,True,True
219,027.tiff,MIDOG21,587,3761,2838,NMF metaphase,NMF metaphase,False,False,False,False
220,027.tiff,MIDOG21,594,3967,3593,NMF ring shape,NMF ring shape,False,False,False,False
221,027.tiff,MIDOG21,595,4892,3477,NMF prometaphase,NMF prometaphase,False,False,False,False
222,027.tiff,MIDOG21,596,6349,3460,AMF segregation,AMF segregation,True,True,True,True
223,027.tiff,MIDOG21,602,3626,4400,NMF prometaphase,NMF prometaphase,False,False,True,False
224,027.tiff,MIDOG21,606,6727,5258,NMF metaphase,NMF metaphase,False,False,False,False
225,027.tiff,MIDOG21,607,6757,2668,NMF prometaphase,NMF prometaphase,False,False,True,False
226,027.tiff,MIDOG21,615,4366,2225,NMF metaphase,NMF metaphase,False,False,False,False
227,028.tiff,MIDOG21,621,5305,3463,NMF prometaphase,NMF prometaphase,False,False,False,False
228,029.tiff,MIDOG21,624,924,2433,NMF metaphase,NMF metaphase,False,False,False,False
229,029.tiff,MIDOG21,626,4239,2928,NMF metaphase,AMF segregation,False,True,True,True
230,029.tiff,MIDOG21,627,4986,2684,NMF metaphase,AMF segregation,False,True,False,False
231,030.tiff,MIDOG21,632,5806,486,AMF other,AMF segregation,True,True,True,True
232,030.tiff,MIDOG21,633,6367,84,AMF other,NMF metaphase,True,False,True,True
233,030.tiff,MIDOG21,634,271,1464,AMF other,NMF metaphase,True,False,False,False
234,030.tiff,MIDOG21,636,6471,2274,NMF metaphase,NMF metaphase,False,False,False,False
235,030.tiff,MIDOG21,638,4835,2840,NMF prometaphase,AMF other,False,True,True,True
236,030.tiff,MIDOG21,639,6123,2857,NMF metaphase,NMF metaphase,False,False,False,False
237,030.tiff,MIDOG21,640,7064,2591,NMF prometaphase,NMF prometaphase,False,False,False,False
238,030.tiff,MIDOG21,641,3887,3811,AMF segregation,NMF prometaphase,True,False,False,False
239,030.tiff,MIDOG21,643,4424,3177,NMF metaphase,NMF metaphase,False,False,False,False
240,030.tiff,MIDOG21,644,5570,3645,NMF metaphase,NMF metaphase,False,False,False,False
241,030.tiff,MIDOG21,645,6417,3161,NMF prometaphase,NMF prometaphase,False,False,False,False
242,030.tiff,MIDOG21,646,2972,4445,NMF prometaphase,NMF prometaphase,False,False,False,False
243,030.tiff,MIDOG21,649,4155,5146,NMF prometaphase,NMF prometaphase,False,False,False,False
244,031.tiff,MIDOG21,661,1186,1393,AMF other,NMF prometaphase,True,False,True,True
245,031.tiff,MIDOG21,669,3135,4728,NMF prometaphase,NMF prometaphase,False,False,False,False
246,032.tiff,MIDOG21,672,6134,267,NMF prometaphase,NMF prometaphase,False,False,False,False
247,032.tiff,MIDOG21,673,5195,1453,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
248,032.tiff,MIDOG21,675,2682,2150,NMF metaphase,NMF metaphase,False,False,True,False
249,032.tiff,MIDOG21,678,5565,2122,AMF segregation,AMF other,True,True,True,True
250,032.tiff,MIDOG21,680,5311,2949,AMF bipolar assymetric,AMF bipolar assymetric,True,True,True,True
251,032.tiff,MIDOG21,681,7022,3023,NMF prometaphase,NMF prometaphase,False,False,True,False
252,032.tiff,MIDOG21,682,1744,3699,AMF bipolar assymetric,AMF bipolar assymetric,True,True,False,True
253,032.tiff,MIDOG21,684,4056,3591,NMF metaphase,NMF metaphase,False,False,False,False
254,032.tiff,MIDOG21,686,7057,3987,NMF ring shape,AMF other,False,True,True,True
255,032.tiff,MIDOG21,687,4334,5331,AMF segregation,AMF segregation,True,True,True,True
256,032.tiff,MIDOG21,688,4585,5373,NMF metaphase,NMF metaphase,False,False,False,False
257,033.tiff,MIDOG21,705,2423,2636,NMF metaphase,NMF metaphase,False,False,False,False
258,033.tiff,MIDOG21,708,5652,3467,NMF prometaphase,NMF prometaphase,False,False,True,False
259,033.tiff,MIDOG21,710,2967,4829,NMF metaphase,NMF metaphase,False,False,False,False
260,034.tiff,MIDOG21,712,2205,272,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
261,034.tiff,MIDOG21,713,2483,125,NMF metaphase,NMF metaphase,False,False,False,False
262,034.tiff,MIDOG21,714,2902,283,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
263,034.tiff,MIDOG21,715,1834,719,NMF prometaphase,NMF prometaphase,False,False,False,False
264,034.tiff,MIDOG21,717,1176,693,NMF anaphase-telophase,AMF bipolar assymetric,False,True,False,False
265,034.tiff,MIDOG21,718,361,352,NMF prometaphase,NMF prometaphase,False,False,False,False
266,034.tiff,MIDOG21,719,318,727,NMF metaphase,NMF metaphase,False,False,False,False
267,034.tiff,MIDOG21,720,5640,627,NMF metaphase,NMF metaphase,False,False,False,False
268,034.tiff,MIDOG21,723,466,854,NMF prometaphase,NMF prometaphase,False,False,False,False
269,034.tiff,MIDOG21,724,149,1601,NMF prometaphase,NMF prometaphase,False,False,False,False
270,034.tiff,MIDOG21,725,1748,1560,NMF prometaphase,NMF prometaphase,False,False,False,False
271,034.tiff,MIDOG21,726,1543,1498,AMF segregation,NMF prometaphase,True,False,True,True
272,034.tiff,MIDOG21,727,1973,896,NMF prometaphase,NMF prometaphase,False,False,False,False
273,034.tiff,MIDOG21,728,6321,1114,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
274,034.tiff,MIDOG21,729,603,2070,NMF metaphase,NMF metaphase,False,False,False,False
275,034.tiff,MIDOG21,733,1706,1812,AMF segregation,AMF segregation,True,True,True,True
276,034.tiff,MIDOG21,734,2784,1845,NMF prometaphase,NMF prometaphase,False,False,False,False
277,034.tiff,MIDOG21,735,1606,2301,NMF prometaphase,NMF prometaphase,False,False,False,False
278,034.tiff,MIDOG21,736,3565,2023,NMF prometaphase,NMF prometaphase,False,False,False,False
279,034.tiff,MIDOG21,737,4340,2100,NMF prometaphase,NMF prometaphase,False,False,False,False
280,034.tiff,MIDOG21,739,5211,2158,NMF metaphase,NMF metaphase,False,False,False,False
281,034.tiff,MIDOG21,741,6927,2085,NMF metaphase,NMF prometaphase,False,False,False,False
282,034.tiff,MIDOG21,743,5982,2255,NMF metaphase,NMF metaphase,False,False,False,False
283,034.tiff,MIDOG21,746,1480,2422,NMF prometaphase,NMF prometaphase,False,False,False,False
284,034.tiff,MIDOG21,749,1968,2769,NMF anaphase-telophase,NMF anaphase-telophase,False,False,True,False
285,034.tiff,MIDOG21,750,1862,2525,NMF metaphase,NMF metaphase,False,False,False,False
286,034.tiff,MIDOG21,751,2480,2572,NMF prometaphase,NMF metaphase,False,False,True,False
287,034.tiff,MIDOG21,752,2905,2821,NMF prometaphase,NMF prometaphase,False,False,False,False
288,034.tiff,MIDOG21,756,6129,2817,NMF prometaphase,NMF prometaphase,False,False,False,False
289,034.tiff,MIDOG21,757,6257,2690,NMF metaphase,NMF metaphase,False,False,False,False
290,034.tiff,MIDOG21,758,6959,2516,NMF metaphase,NMF metaphase,False,False,False,False
291,034.tiff,MIDOG21,759,57,3416,NMF metaphase,NMF metaphase,False,False,False,False
